tweet_id,created_at,text,sentiment,month,classes
1.26E+18,Sat May 02 00:59:21 +0000 2020,"RT @bbcworldservice: This nine-year-old Kenyan inventor has come up with an ingenious way to wash his hands, and reduce the spread of the #…",0.5,May,2
1.26E+18,Sat May 02 00:59:20 +0000 2020,"RT @RightWingLawMan: Governor Gavin Newsome Just Sent in His Brown Coats!👇😤

The re-open California protest was just met with the arrests o…",0,May,1
1.26E+18,Sat May 02 00:59:19 +0000 2020,"RT @violetpandora: Inside The US Government's Top-Secret Bioweapons Lab
#Covid_19 #CoronaVirusUpdate #coronavirus #Covid_19 #COVID #COVIDー1…",0,May,1
1.26E+18,Sat May 02 00:59:17 +0000 2020,"Still on the face shield. Production is going... Lagos, burna #coronavirus #COVID__19 92inkano
#08038613844
#080729… https://t.co/hFeFkcQrjw",0,May,1
1.26E+18,Sat May 02 00:59:16 +0000 2020,RT @RepGosar: The Wuhan #coronavirus won’t stop us from building the wall! #BuildTheWall https://t.co/eu9OiFH8Nf,0,May,1
1.26E+18,Sat May 02 00:59:15 +0000 2020,"RT @RealCandaceO: To all of you frauds who claimed shutting down the nation was about helping the “front line” doctors and nurses.

Now tho…",0,May,1
1.26E+18,Sat May 02 00:59:14 +0000 2020,RT @BathLabourParty: Two doctors commence court action against the British government for failing on their responsibility to keep NHS worke…,0.05,May,2
1.26E+18,Sat May 02 00:59:13 +0000 2020,@VerekerPhoto @ausgov @AlboMP @abclandline @MathiasCormann @SkyNewsAust Howdy Will this virus destroy our economy?… https://t.co/UmvmUAg2P7,-0.2,May,0
1.26E+18,Sat May 02 00:59:12 +0000 2020,"RT @RealCandaceO: To all of you frauds who claimed shutting down the nation was about helping the “front line” doctors and nurses.

Now tho…",0,May,1
1.26E+18,Sat May 02 00:59:11 +0000 2020,"RT @mcleod: This is today's GOP. Holding hostage pandemic aid while people are dying. 
#trumpvirus #coronavirus #covid19 @realDonaldTrump #…",0,May,1
1.26E+18,Sat May 02 00:59:10 +0000 2020,"RT @shongables: Just In: White House blocks Fauci from testifying before Congress about #coronavirus response next week.
@CBS46 https://t.c…",0,May,1
1.26E+18,Sat May 02 00:59:08 +0000 2020,"RT @RealCandaceO: Things that were consider “conspiracy theories” a month ago, that are now verified facts. 

1) People that were never tes…",0,May,1
1.26E+18,Sat May 02 00:59:07 +0000 2020,"RT @michaeljohns: Is the national #coronavirus fog beginning to lift?

In these ten states, yes:

Alabama, Arizona, Idaho, Illinois, Indian…",0,May,1
1.26E+18,Sat May 02 00:59:06 +0000 2020,"RT @AwakenedOutlaw: Yeah......no.

Maybe you should just sit this one out, Hanoi Jane.

#JaneFonda Demands #Coronavirus Recovery Money Be U…",0,May,1
1.26E+18,Sat May 02 00:59:05 +0000 2020,"RT @OffGuardian0: They are literally telling us, every day, that their numbers are inflated, and nobody (or very few people) are actually l…",0,May,1
1.26E+18,Sat May 02 00:59:04 +0000 2020,RT @ChMSarwar: A massive cut in #petrolprice by the #PTI govt in the #wheat harvest month will provide relief to our farmers &amp; labourers wh…,0,May,1
1.26E+18,Sat May 02 00:59:03 +0000 2020,"RT @charlesadler: #Coronavirus Every people are asking ""How could this be happening in Canada?"" 105-year-old grandmother’s pleas for water…",0,May,1
1.26E+18,Sat May 02 00:59:02 +0000 2020,"RT @abc15: LIVE VIDEO: Pilots from 
@LukeAFB are performing a flyover to honor coronavirus healthcare workers.
Watch: https://t.co/to7TwVP2…",0.136363636,May,2
